조회 기간 : 2021-01-12 00:00:00 ~ 2021-01-12 23:59:59
조회선박 척수 : 1496
MMSI,일시,위도,경도,SOG,COG,Heading
111111111,2021-01-12 00:05:46,37.6919366666667,125.6982,0,0,480
111111111,2021-01-12 00:50:46,37.6919366666667,125.6982,0,0,480
111111111,2021-01-12 01:11:48,37.6919533333333,125.698186666667,0,0,480
111111111,2021-01-12 01:23:48,37.6918966666667,125.698186666667,0,0,480
111111111,2021-01-12 01:35:46,37.69189,125.698186666667,0,0,480
111111111,2021-01-12 01:53:47,37.69191,125.698173333333,0,0,480
111111111,2021-01-12 02:08:49,37.6918833333333,125.698186666667,0,0,480
111111111,2021-01-12 02:20:47,37.6919166666667,125.698186666667,0,0,480
111111111,2021-01-12 02:35:49,37.6918333333333,125.69816,0,0,480
111111111,2021-01-12 02:59:48,37.6917566666667,125.69812,0.2,47.9,480
111111111,2021-01-12 03:17:47,37.69154,125.697826666667,0.2,225.2,480
111111111,2021-01-12 03:35:49,37.69151,125.697306666667,0,0,480
111111111,2021-01-12 03:47:50,37.6914066666667,125.697346666667,0.1,0,480
111111111,2021-01-12 03:59:47,37.6915966666667,125.696973333333,0.2,231.7,480
111111111,2021-01-12 04:11:49,37.69165,125.69688,0,0,480
111111111,2021-01-12 04:26:49,37.69163,125.696893333333,0,0,480
111111111,2021-01-12 04:38:48,37.6915166666667,125.697053333333,0,0,480
111111111,2021-01-12 04:59:48,37.69196,125.696706666667,0,0,480
111111111,2021-01-12 05:17:48,37.6919666666667,125.696693333333,0,0,480
111111111,2021-01-12 05:29:51,37.69196,125.696693333333,0,0,480
111111111,2021-01-12 05:47:48,37.6919666666667,125.696666666667,0,0,480
111111111,2021-01-12 06:16:15,34.3898566666667,124.730853333333,2.7,175.6,511
111111111,2021-01-12 06:55:50,34.3583333333333,124.72972,2.6,184.4,480
111111111,2021-01-12 07:23:30,32.4757233333333,127.11668,5.3,224.2,480
111111111,2021-01-12 07:44:50,37.6918533333333,125.696653333333,0.3,100.7,480
111111111,2021-01-12 07:55:20,37.6949733333333,125.7116,7.3,73.4,480
111111111,2021-01-12 08:39:54,34.31887,124.738453333333,2.4,102.5,480
111111111,2021-01-12 10:48:03,34.40985,124.729786666667,3.4,16.2,511
111111111,2021-01-12 19:23:41,34.4240533333333,124.710466666667,4.4,180,480
111111111,2021-01-12 20:49:58,37.6941866666667,125.724986666667,11.1,267.9,480
111111111,2021-01-12 21:00:00,37.68952,125.69936,3.1,116.2,511
111111111,2021-01-12 21:13:31,37.6894566666667,125.698813333333,0.1,0,480
111111111,2021-01-12 21:28:29,37.6894733333333,125.698813333333,0.3,314.6,480
111111111,2021-01-12 21:40:28,37.6894566666667,125.698826666667,0.1,0,480
111111111,2021-01-12 21:52:31,37.6893866666667,125.698826666667,0.1,0,480
111111111,2021-01-12 22:04:29,37.68926,125.698893333333,0.6,101.8,480
111111111,2021-01-12 22:22:32,37.6893466666667,125.699413333333,1.6,344.6,480
111111111,2021-01-12 22:39:36,37.69315,125.702786666667,0.3,76.5,480
