조회 기간 : 2021-01-23 00:00:00 ~ 2021-01-23 23:59:59
조회선박 척수 : 1447
MMSI,일시,위도,경도,SOG,COG,Heading
111111111,2021-01-23 00:30:45,32.4413433333333,127.15844,2.9,114.9,511
111111111,2021-01-23 03:51:13,32.3929266666667,127.1662,3.4,355.1,511
111111111,2021-01-23 04:56:43,32.4506633333333,127.165386666667,2.9,347.5,511
111111111,2021-01-23 05:28:15,32.4786033333333,127.165893333333,3.1,12.4,511
111111111,2021-01-23 05:39:14,32.4882033333333,127.16696,3.3,0.6,511
111111111,2021-01-23 05:54:44,32.50191,127.167066666667,3.1,356.3,511
111111111,2021-01-23 06:04:44,32.51078,127.167373333333,3,359.9,511
111111111,2021-01-23 06:18:13,32.5228233333333,127.167306666667,3.3,1.4,511
111111111,2021-01-23 06:28:20,32.52676,127.164213333333,1.9,307.9,511
111111111,2021-01-23 06:42:27,32.52962,127.157413333333,0.2,155.6,511
111111111,2021-01-23 07:02:36,32.5312733333333,127.1502,5.5,127.7,511
111111111,2021-01-23 07:13:05,32.5150733333333,127.160626666667,6.6,161.3,511
111111111,2021-01-23 07:23:35,32.4958666666667,127.167906666667,6.8,175,511
111111111,2021-01-23 07:34:05,32.4762833333333,127.173853333333,7.2,180.4,511
111111111,2021-01-23 08:14:13,32.4664166666667,127.166986666667,2,307.7,511
111111111,2021-01-23 08:35:14,32.4690933333333,127.113053333333,9.1,280.8,511
111111111,2021-01-23 08:45:43,32.4670166666667,127.082386666667,8.8,257.4,511
111111111,2021-01-23 09:02:14,32.4616666666667,127.047786666667,3,182.5,511
111111111,2021-01-23 09:12:43,32.45068,127.04776,2.6,170,511
111111111,2021-01-23 09:25:13,32.4403133333333,127.04824,3.2,180.1,511
111111111,2021-01-23 09:35:14,32.4324033333333,127.048466666667,2.7,193,511
111111111,2021-01-23 10:00:44,32.4123633333333,127.048426666667,2.7,176.2,511
111111111,2021-01-23 11:44:39,34.2435,124.649213333333,3,345.2,480
111111111,2021-01-23 19:54:04,32.4776966666667,127.04572,3.5,352.2,511
111111111,2021-01-23 20:12:57,32.4844366666667,127.038253333333,4.2,246.2,511
111111111,2021-01-23 20:25:35,32.4860066666667,127.0314,2.5,269.5,511
111111111,2021-01-23 21:07:43,32.50204,127.0398,1.6,33.9,511
111111111,2021-01-23 21:26:09,32.50729,127.044533333333,0.9,243.6,511
111111111,2021-01-23 21:38:09,32.5067933333333,127.042613333333,2.2,61.8,511
111111111,2021-01-23 21:53:03,32.5057166666667,127.04196,1.4,49.9,511
111111111,2021-01-23 22:05:35,32.5056866666667,127.042066666667,0.3,102.5,511
111111111,2021-01-23 22:22:05,32.5055066666667,127.042213333333,0.7,32.6,511
111111111,2021-01-23 22:40:19,32.5051366666667,127.04244,0.7,245.6,511
111111111,2021-01-23 22:51:24,32.5047733333333,127.04292,0.9,81,511
111111111,2021-01-23 23:04:41,32.50496,127.042733333333,1.2,77.4,511
111111111,2021-01-23 23:23:41,32.5050666666667,127.042546666667,2,10.2,511
111111111,2021-01-23 23:50:48,32.5049633333333,127.042653333333,0.5,305.6,511
312284000,2021-01-23 00:01:04,35.9850483333333,126.620668333333,0,254.9,511
312284000,2021-01-23 00:13:05,35.9850166666667,126.620688333333,0,244,511
312284000,2021-01-23 00:25:04,35.9849933333333,126.620761666667,0,268.2,511
312284000,2021-01-23 00:37:03,35.9850033333333,126.620685,0,289.8,511
312284000,2021-01-23 00:49:03,35.98503,126.62067,0,304.9,511
312284000,2021-01-23 01:01:03,35.9850366666667,126.620683333333,0,272,511
312284000,2021-01-23 01:13:04,35.9850883333333,126.620651666667,0,356.4,511
312284000,2021-01-23 01:25:05,35.9850483333333,126.620671666667,0,11.1,511
312284000,2021-01-23 01:37:04,35.9850133333333,126.620635,0,281.1,511
312284000,2021-01-23 01:49:05,35.98503,126.620671666667,0,290.8,511
312284000,2021-01-23 02:01:03,35.9850816666667,126.62067,0,251,511
312284000,2021-01-23 02:13:03,35.985055,126.620673333333,0,283.2,511
312284000,2021-01-23 02:25:04,35.9850483333333,126.620675,0,289.4,511
312284000,2021-01-23 02:37:03,35.9850666666667,126.620675,0,292.6,511
312284000,2021-01-23 02:49:03,35.9850466666667,126.620656666667,0,279.4,511
312284000,2021-01-23 03:01:05,35.9850416666667,126.620655,0,270.6,511
312284000,2021-01-23 03:13:04,35.9850433333333,126.620641666667,0,296.7,511
312284000,2021-01-23 03:25:03,35.9850666666667,126.620641666667,0,285.6,511
312284000,2021-01-23 03:37:06,35.9850416666667,126.620631666667,0,327.4,511
312284000,2021-01-23 03:49:03,35.98505,126.620648333333,0,338.9,511
312284000,2021-01-23 04:01:03,35.985015,126.620616666667,0,6.8,511
312284000,2021-01-23 04:13:05,35.9850183333333,126.620663333333,0,312.2,511
312284000,2021-01-23 04:25:04,35.9850516666667,126.620678333333,0,256.6,511
312284000,2021-01-23 04:37:07,35.9850266666667,126.620653333333,0,234.7,511
312284000,2021-01-23 04:49:04,35.9850333333333,126.620673333333,0,240.6,511
