조회 기간 : 2021-01-14 00:00:00 ~ 2021-01-14 23:59:59
조회선박 척수 : 1391
MMSI,일시,위도,경도,SOG,COG,Heading
111111111,2021-01-14 00:02:56,34.2332366666667,124.71716,0.3,263.3,480
111111111,2021-01-14 00:34:56,34.2270266666667,124.716613333333,0.9,334.8,480
111111111,2021-01-14 00:49:55,34.2299366666667,124.71576,1,10.8,480
111111111,2021-01-14 01:08:58,34.2352533333333,124.716146666667,0.6,341.6,480
111111111,2021-01-14 01:20:57,34.2373433333333,124.715506666667,0.5,331.4,480
111111111,2021-01-14 01:51:10,34.2419733333333,124.715106666667,0.7,359.1,511
111111111,2021-01-14 02:06:09,34.24437,124.714733333333,0.3,324.7,511
111111111,2021-01-14 03:03:40,34.24997,124.715493333333,8.5,80.3,480
111111111,2021-01-14 03:14:11,34.26289,124.72572,9.6,356.3,511
111111111,2021-01-14 03:33:14,34.2795533333333,124.72896,2.7,348.1,511
111111111,2021-01-14 04:40:18,34.2948,124.704533333333,4.4,173.8,480
111111111,2021-01-14 07:41:05,32.3263333333333,124.438866666667,2.4,2.8,511
111111111,2021-01-14 08:48:10,34.13481,124.725653333333,8.6,78.6,511
111111111,2021-01-14 08:59:10,34.1476233333333,124.732933333333,1.9,329.9,511
111111111,2021-01-14 09:56:16,32.3923666666667,124.494586666667,2.4,97.8,480
111111111,2021-01-14 10:49:03,35.9756716666667,126.561958333333,0,0,511
111111111,2021-01-14 11:41:56,34.2707533333333,124.73688,2.8,357.6,480
111111111,2021-01-14 13:05:01,32.34757,124.533813333333,1.6,356.6,511
111111111,2021-01-14 13:23:04,32.35947,124.531826666667,8.4,312.5,511
111111111,2021-01-14 13:57:37,32.4113566666667,124.52888,5.1,349.3,480
111111111,2021-01-14 14:08:08,32.42584,124.525026666667,4.7,348.3,511
111111111,2021-01-14 14:19:37,32.43988,124.518693333333,4.5,337.3,480
111111111,2021-01-14 14:29:41,32.45028,124.511933333333,3.5,312.4,480
