조회 기간 : 2021-01-31 00:00:00 ~ 2021-01-31 23:59:59
조회선박 척수 : 1475
MMSI,일시,위도,경도,SOG,COG,Heading
111111111,2021-01-31 00:00:25,32.61959,127.064466666667,3,214.8,511
111111111,2021-01-31 00:10:55,32.61207,127.063173333333,2.5,174.2,511
111111111,2021-01-31 00:21:24,32.6046033333333,127.06464,2.5,184,511
111111111,2021-01-31 00:32:53,32.59613,127.065253333333,2.8,184.5,511
111111111,2021-01-31 00:42:56,32.5886466666667,127.065013333333,2.6,167.8,511
111111111,2021-01-31 00:52:56,32.58115,127.065706666667,3.1,177.7,511
111111111,2021-01-31 01:03:54,32.5726366666667,127.064986666667,2.9,181.6,511
111111111,2021-01-31 01:14:55,32.5639966666667,127.064293333333,2.8,173.4,511
111111111,2021-01-31 01:25:57,32.5553566666667,127.063546666667,3.3,200,511
111111111,2021-01-31 01:37:25,32.5462166666667,127.064013333333,2.7,174.4,511
111111111,2021-01-31 01:48:54,32.5370933333333,127.063026666667,2.6,187.8,511
111111111,2021-01-31 01:59:54,32.5283466666667,127.062093333333,3,181,511
111111111,2021-01-31 02:12:54,32.52452,127.063,0.9,88,511
111111111,2021-01-31 02:25:34,32.5219933333333,127.066973333333,1.2,137.2,511
111111111,2021-01-31 02:43:29,32.5193966666667,127.075213333333,6.6,155.8,511
111111111,2021-01-31 02:53:29,32.50624,127.075226666667,4.8,188.5,511
111111111,2021-01-31 03:03:30,32.4960066666667,127.075266666667,2.8,175.2,511
111111111,2021-01-31 03:15:29,32.48645,127.075613333333,3,187.1,511
111111111,2021-01-31 03:26:58,32.4772266666667,127.07584,2.7,175.6,511
111111111,2021-01-31 03:36:59,32.4691333333333,127.075666666667,3,182.9,511
111111111,2021-01-31 03:46:59,32.4609233333333,127.075693333333,2.8,171.2,511
111111111,2021-01-31 04:04:01,32.4467133333333,127.075626666667,2.9,178.6,511
111111111,2021-01-31 04:17:00,32.4357733333333,127.075346666667,3.2,174,511
111111111,2021-01-31 04:35:59,32.41953,127.07548,3.1,170.7,511
111111111,2021-01-31 04:54:31,32.40352,127.075013333333,3.2,180.7,511
111111111,2021-01-31 05:09:00,32.3910933333333,127.075013333333,3,181.2,511
111111111,2021-01-31 05:23:00,32.3790766666667,127.07468,3,175.8,511
111111111,2021-01-31 05:36:59,32.36702,127.074626666667,3,173.4,511
111111111,2021-01-31 10:52:32,32.3774,127.048466666667,3.2,9.2,511
111111111,2021-01-31 11:56:01,32.4368733333333,127.048373333333,3.5,1.4,511
111111111,2021-01-31 12:11:06,32.4511266666667,127.048133333333,3.6,1.7,511
111111111,2021-01-31 12:36:02,32.4713333333333,127.055786666667,3.1,88.7,511
111111111,2021-01-31 13:01:33,32.49329,127.061253333333,3.3,0.1,511
111111111,2021-01-31 13:12:02,32.5026633333333,127.0614,3,0.8,511
111111111,2021-01-31 13:24:03,32.51347,127.061586666667,3.1,355.8,511
111111111,2021-01-31 13:37:03,32.5252,127.061573333333,3.4,358.9,511
111111111,2021-01-31 13:48:31,32.5346033333333,127.061866666667,1.5,359.3,511
111111111,2021-01-31 13:58:33,32.5378433333333,127.06224,2.4,5.1,511
111111111,2021-01-31 14:13:03,32.5449033333333,127.064226666667,1.5,23.6,511
111111111,2021-01-31 14:25:01,32.5563366666667,127.065373333333,6.9,3.9,511
111111111,2021-01-31 14:35:01,32.5698466666667,127.064586666667,3.3,5.5,511
111111111,2021-01-31 14:45:31,32.5794333333333,127.066053333333,2.8,0.3,511
111111111,2021-01-31 14:55:33,32.5883233333333,127.06604,3.2,5.2,511
111111111,2021-01-31 15:06:01,32.5975433333333,127.0654,2.9,356.3,511
111111111,2021-01-31 15:18:32,32.6082433333333,127.064706666667,3,356.8,511
111111111,2021-01-31 15:30:01,32.61783,127.063173333333,3.1,6.3,511
111111111,2021-01-31 15:40:31,32.6260866666667,127.071146666667,3.7,59.3,511
111111111,2021-01-31 15:54:01,32.6296433333333,127.087426666667,4,90.4,511
111111111,2021-01-31 16:04:32,32.6271866666667,127.100693333333,3.7,95.1,511
111111111,2021-01-31 16:15:01,32.6245033333333,127.111506666667,3.3,109.5,511
111111111,2021-01-31 16:25:02,32.6226366666667,127.122466666667,3.8,85.9,511
111111111,2021-01-31 16:36:31,32.62175,127.13504,3.5,82.4,511
111111111,2021-01-31 16:47:34,32.62175,127.147053333333,3.5,95.9,511
111111111,2021-01-31 16:58:31,32.6216733333333,127.158853333333,3.3,94.6,511
111111111,2021-01-31 17:11:01,32.6189666666667,127.171373333333,3.5,111.1,511
111111111,2021-01-31 17:21:31,32.61879,127.18252,3.3,80.4,511
111111111,2021-01-31 17:31:32,32.6211666666667,127.192893333333,3.5,69.3,511
111111111,2021-01-31 17:42:01,32.6229433333333,127.203813333333,2.9,94.9,511
111111111,2021-01-31 17:52:34,32.62303,127.214773333333,3.1,100.7,511
111111111,2021-01-31 18:03:03,32.62275,127.225626666667,3.5,82.1,511
111111111,2021-01-31 18:17:02,32.62236,127.239853333333,3.3,87.9,511
111111111,2021-01-31 18:31:02,32.6218666666667,127.253893333333,3,100.3,511
111111111,2021-01-31 18:41:31,32.62167,127.264373333333,3.3,87.6,511
111111111,2021-01-31 18:53:01,32.6213466666667,127.276213333333,2.9,85.1,511
111111111,2021-01-31 19:06:32,32.6197566666667,127.2896,3,103.9,511
111111111,2021-01-31 19:17:30,32.6165333333333,127.29948,3.1,103,511
111111111,2021-01-31 19:28:31,32.61725,127.3104,2.8,85.5,511
111111111,2021-01-31 19:45:03,32.62045,127.316226666667,1.7,27,511
111111111,2021-01-31 20:05:13,32.62582,127.323306666667,3,125.1,511
111111111,2021-01-31 20:18:09,32.6175633333333,127.310466666667,7.6,256.1,511
111111111,2021-01-31 20:30:39,32.6201966666667,127.284,3.8,282.8,511
111111111,2021-01-31 20:40:39,32.6217466666667,127.271346666667,2.9,279.9,511
111111111,2021-01-31 20:50:42,32.6216933333333,127.261306666667,3.1,274.9,511
111111111,2021-01-31 21:01:38,32.6216133333333,127.250306666667,3.4,272.6,511
111111111,2021-01-31 21:12:10,32.6218666666667,127.239733333333,3.1,277.2,511
111111111,2021-01-31 21:25:37,32.62238,127.22612,3.2,277,511
111111111,2021-01-31 21:36:05,32.6230433333333,127.215493333333,3.7,273.3,511
111111111,2021-01-31 21:46:05,32.6230633333333,127.205733333333,3,262,511
111111111,2021-01-31 22:01:33,32.6210733333333,127.191186666667,3.1,245.1,511
111111111,2021-01-31 22:14:31,32.6183433333333,127.1802,2.6,251.5,511
111111111,2021-01-31 22:26:05,32.61983,127.16768,3.6,279.7,511
111111111,2021-01-31 22:38:09,32.62209,127.155066666667,2.9,271.4,511
111111111,2021-01-31 22:49:11,32.62146,127.144333333333,1.7,259.9,511
111111111,2021-01-31 23:00:10,32.6214333333333,127.133306666667,3.3,275.9,511
111111111,2021-01-31 23:10:12,32.6220533333333,127.123186666667,3.6,271.4,511
111111111,2021-01-31 23:20:45,32.6232533333333,127.1126,2.8,263.5,511
111111111,2021-01-31 23:30:52,32.6241133333333,127.102253333333,2.7,282.7,511
111111111,2021-01-31 23:40:55,32.6226466666667,127.093293333333,3.8,263.5,511
111111111,2021-01-31 23:53:02,32.62263,127.08116,2.6,271.4,511
312284000,2021-01-31 00:02:57,35.9758016666667,126.56227,0.1,287.7,511
312284000,2021-01-31 00:14:56,35.9757983333333,126.56224,0.1,268.7,511
312284000,2021-01-31 00:26:57,35.9757816666667,126.562215,0.1,243.7,511
312284000,2021-01-31 00:38:57,35.9758133333333,126.562278333333,0.1,260.6,511
312284000,2021-01-31 00:50:58,35.9758116666667,126.562273333333,0.1,277.8,511
312284000,2021-01-31 01:02:58,35.9758016666667,126.562226666667,0.1,270,511
312284000,2021-01-31 01:14:56,35.9758083333333,126.562206666667,0.1,243.9,511
312284000,2021-01-31 01:26:57,35.975805,126.562238333333,0.1,245,511
312284000,2021-01-31 01:38:56,35.9758116666667,126.562206666667,0.1,249.8,511
312284000,2021-01-31 01:50:57,35.9757933333333,126.562231666667,0.1,263,511
312284000,2021-01-31 02:02:56,35.9758033333333,126.562251666667,0,255.2,511
312284000,2021-01-31 02:14:57,35.9757966666667,126.562243333333,0.1,259.5,511
312284000,2021-01-31 02:26:57,35.9758116666667,126.56224,0.1,257,511
312284000,2021-01-31 02:38:57,35.9758183333333,126.562235,0.1,271.2,511
312284000,2021-01-31 02:50:57,35.9758133333333,126.562261666667,0.2,264.7,511
312284000,2021-01-31 03:02:57,35.975805,126.562253333333,0.2,255.6,511
312284000,2021-01-31 03:14:56,35.975845,126.562211666667,0.2,280.4,511
312284000,2021-01-31 03:26:56,35.9758216666667,126.562218333333,0.1,274.5,511
312284000,2021-01-31 03:39:00,35.9758033333333,126.562215,0.2,249.5,511
312284000,2021-01-31 03:50:57,35.975795,126.5622,0.1,245.6,511
312284000,2021-01-31 04:02:56,35.9758033333333,126.562198333333,0.2,254.3,511
312284000,2021-01-31 04:14:57,35.975815,126.562211666667,0.1,255.2,511
312284000,2021-01-31 04:26:56,35.9758633333333,126.562205,0,245.2,511
312284000,2021-01-31 04:38:56,35.9758416666667,126.562201666667,0.3,246.4,511
312284000,2021-01-31 04:50:59,35.9758083333333,126.5622,0.1,254,511
312284000,2021-01-31 05:02:56,35.9758083333333,126.562233333333,0.3,253.7,511
312284000,2021-01-31 05:14:57,35.9758016666667,126.562173333333,0,256.1,511
312284000,2021-01-31 05:26:59,35.9757983333333,126.562186666667,0,254.9,511
312284000,2021-01-31 05:38:56,35.975815,126.562186666667,0,263,511
312284000,2021-01-31 05:50:58,35.9758583333333,126.562168333333,0,268.9,511
312284000,2021-01-31 06:02:56,35.9758633333333,126.562116666667,0,263.2,511
312284000,2021-01-31 06:14:57,35.975775,126.562203333333,0,264.5,511
312284000,2021-01-31 06:26:57,35.9758216666667,126.562188333333,0.1,267.4,511
312284000,2021-01-31 06:41:56,35.9757966666667,126.562186666667,0,254.8,511
312284000,2021-01-31 06:56:57,35.9758083333333,126.562175,0,275.7,511
312284000,2021-01-31 07:08:58,35.9758383333333,126.562228333333,0,247.9,511
312284000,2021-01-31 07:20:56,35.9757966666667,126.562166666667,0,262.4,511
312284000,2021-01-31 07:32:57,35.9758133333333,126.562175,0,261.2,511
312284000,2021-01-31 07:44:57,35.9758066666667,126.562218333333,0,278.5,511
312284000,2021-01-31 07:56:56,35.9758333333333,126.562191666667,0,269.8,511
312284000,2021-01-31 08:08:56,35.9758333333333,126.5622,0.1,279.5,511
312284000,2021-01-31 08:20:57,35.9758366666667,126.562191666667,0,280.2,511
312284000,2021-01-31 08:32:58,35.9758183333333,126.56221,0,239.3,511
312284000,2021-01-31 08:44:56,35.975855,126.56221,0,291.1,511
312284000,2021-01-31 08:56:59,35.9758516666667,126.562183333333,0,294.6,511
312284000,2021-01-31 09:08:57,35.9758166666667,126.562258333333,0,226.2,511
312284000,2021-01-31 09:20:56,35.9758466666667,126.562238333333,0,230.6,511
312284000,2021-01-31 09:32:58,35.975825,126.562228333333,0,223.3,511
312284000,2021-01-31 09:44:56,35.9758366666667,126.562226666667,0,253.7,511
312284000,2021-01-31 09:56:56,35.975795,126.562178333333,0,254.7,511
312284000,2021-01-31 10:09:02,35.9758166666667,126.562143333333,0,243.3,511
312284000,2021-01-31 10:21:00,35.9758116666667,126.56218,0,258.6,511
312284000,2021-01-31 10:32:59,35.9758016666667,126.562223333333,0,262.5,511
312284000,2021-01-31 10:44:57,35.975795,126.562226666667,0.1,272,511
312284000,2021-01-31 10:56:57,35.9758383333333,126.562188333333,0,284.2,511
312284000,2021-01-31 11:08:57,35.975805,126.56217,0,270.5,511
312284000,2021-01-31 11:20:56,35.975815,126.562203333333,0,281.4,511
312284000,2021-01-31 11:32:56,35.975835,126.562206666667,0,279.7,511
312284000,2021-01-31 11:44:58,35.97579,126.562235,0,293.5,511
312284000,2021-01-31 11:56:58,35.9758016666667,126.56223,0.1,296.6,511
312284000,2021-01-31 12:08:56,35.9758316666667,126.562231666667,0,286.2,511
312284000,2021-01-31 12:20:57,35.9758216666667,126.562203333333,0.1,274.9,511
312284000,2021-01-31 12:32:57,35.97583,126.562255,0.1,268.8,511
312284000,2021-01-31 12:44:56,35.9758266666667,126.562235,0.1,243,511
312284000,2021-01-31 12:56:57,35.9757916666667,126.562286666667,0,236.9,511
312284000,2021-01-31 13:08:56,35.9757766666667,126.562263333333,0,214.5,511
312284000,2021-01-31 13:20:57,35.9758233333333,126.562295,0,210.8,511
312284000,2021-01-31 13:32:56,35.9758083333333,126.562283333333,0.1,222.6,511
312284000,2021-01-31 13:44:56,35.9758283333333,126.56234,0.1,227.9,511
312284000,2021-01-31 13:56:56,35.9758233333333,126.562418333333,0,50.9,511
312284000,2021-01-31 14:08:57,35.975835,126.562403333333,0,54.7,511
312284000,2021-01-31 14:20:56,35.9758533333333,126.562403333333,0.1,33.8,511
312284000,2021-01-31 14:32:57,35.9758966666667,126.5624,0.1,50.3,511
312284000,2021-01-31 14:44:56,35.9759016666667,126.562398333333,0,84,511
312284000,2021-01-31 14:56:56,35.97586,126.562376666667,0.2,102.5,511
312284000,2021-01-31 15:08:56,35.9758666666667,126.562356666667,0.4,64.5,511
312284000,2021-01-31 15:20:56,35.97584,126.562381666667,0.1,176.7,511
312284000,2021-01-31 15:32:58,35.9758516666667,126.562208333333,0.2,292.3,511
312284000,2021-01-31 15:44:57,35.9758333333333,126.562195,0.2,238.9,511
312284000,2021-01-31 15:56:59,35.97583,126.562226666667,0.2,259.1,511
312284000,2021-01-31 16:09:02,35.9758016666667,126.562171666667,0.1,278.6,511
312284000,2021-01-31 16:20:56,35.9758233333333,126.56219,0.2,275.3,511
312284000,2021-01-31 16:32:57,35.9758283333333,126.562183333333,0,261.1,511
312284000,2021-01-31 16:44:56,35.9758066666667,126.562196666667,0.1,263.4,511
312284000,2021-01-31 16:56:57,35.975825,126.562198333333,0.2,274.2,511
312284000,2021-01-31 17:08:57,35.9758533333333,126.562155,0.3,255.6,511
312284000,2021-01-31 17:20:57,35.975865,126.562113333333,1,147.9,511
312284000,2021-01-31 17:32:57,35.9758033333333,126.562126666667,0.1,268.6,511
312284000,2021-01-31 17:45:00,35.97582,126.562108333333,0.1,260,511
312284000,2021-01-31 17:56:56,35.975795,126.562145,0,258.5,511
312284000,2021-01-31 18:08:56,35.9757883333333,126.562118333333,0.2,263.2,511
312284000,2021-01-31 18:20:57,35.9757816666667,126.562123333333,0,263.7,511
312284000,2021-01-31 18:32:57,35.975815,126.562126666667,0.1,259,511
312284000,2021-01-31 18:44:57,35.97578,126.56212,0.1,258.6,511
312284000,2021-01-31 18:56:57,35.9757916666667,126.562115,0.1,248.9,511
312284000,2021-01-31 19:08:56,35.9757933333333,126.562113333333,0.1,243.1,511
312284000,2021-01-31 19:20:56,35.9757866666667,126.562108333333,0,236.3,511
312284000,2021-01-31 19:32:57,35.9757933333333,126.562103333333,0.1,246.3,511
312284000,2021-01-31 19:44:57,35.9757833333333,126.562103333333,0,230.5,511
312284000,2021-01-31 19:56:56,35.9758083333333,126.562115,0,246.2,511
312284000,2021-01-31 20:08:57,35.975795,126.562118333333,0.1,248.5,511
312284000,2021-01-31 20:20:56,35.9758216666667,126.562163333333,0,238.7,511
312284000,2021-01-31 20:32:57,35.9758133333333,126.562158333333,0,257.9,511
312284000,2021-01-31 20:44:56,35.9758,126.562146666667,0,350.5,511
312284000,2021-01-31 20:56:57,35.9758483333333,126.562206666667,0,84.9,511
312284000,2021-01-31 21:08:56,35.97586,126.562203333333,0,151.3,511
312284000,2021-01-31 21:20:57,35.9758416666667,126.562225,0,137.4,511
312284000,2021-01-31 21:32:56,35.975825,126.562221666667,0,220.8,511
312284000,2021-01-31 21:44:59,35.97587,126.562251666667,0,276.6,511
312284000,2021-01-31 21:56:57,35.9758383333333,126.562211666667,0,280,511
312284000,2021-01-31 22:08:56,35.9758533333333,126.562223333333,0,228.1,511
312284000,2021-01-31 22:20:58,35.9758266666667,126.562226666667,0,245.5,511
312284000,2021-01-31 22:32:56,35.9758016666667,126.562168333333,0.1,247.6,511
