사건번호,사건명,해양사고종류1,해양사고발생(년도),해양사고발생(월),해양사고발생(일),해양사고발생(시),해양사고발생(분),해양사고발생시간대,계절,해양사고장소(위),해양사고장소(위도),해양사고장소(위분),해양사고장소(위초),해양사고장소(경),해양사고장소(경도),해양사고장소(경분),해양사고장소(경초),해양사고발생지역(대),해양사고발생지역(중),해양사고발생지역(통계용),선박명,선박중요도,선박톤수,톤수범위(통계용),선박용도(통계용),사망합계(선원_여객_기타),실종합계(선원_여객_기타),인명피해합계(사망_실종),부상합계(선원_여객_기타),총합(사망_실종_부상)
IC-2020-0585,"낚시어선 피닉스호, 모터보트 선명무 충돌사건",충돌,2020,8,28,9,8,8-12시,여름,북,N35,34,9,동,E126,20,57,국내,서해영해,서해영해,선명무,2,1,1~2톤미만,수상레저기구,0,0,0,0,0
IC-2020-0586,어선 308제일호 좌초사건,좌초,2020,8,31,6,34,4-8시,여름,북,N36,40,59,동,E126,4,27,국내,서해영해,서해영해,308제일호,1,32,30~50톤미만,어선,0,0,0,0,0
IC-2020-0587,"낚시어선 제3경진호, 어선 한솔호 충돌사건",충돌,2020,8,31,9,16,8-12시,여름,북,N36,40,30,동,E126,50,38,국내,서해영해,서해영해,제3경진호,1,5.56,5~10톤미만,어선,0,0,0,0,0
IC-2020-0587,"낚시어선 제3경진호, 어선 한솔호 충돌사건",충돌,2020,8,31,9,16,8-12시,여름,북,N36,40,30,동,E126,50,38,국내,서해영해,서해영해,한솔호,2,5.31,5~10톤미만,어선,0,0,0,0,0
IC-2020-0588,어선 일광호 좌초사건,좌초,2020,8,28,6,40,4-8시,여름,북,N37,27,22,동,E126,24,53,국내,서해영해,서해영해,일광호,1,3,3~5톤미만,어선,0,0,0,0,0
IC-2020-0589,"어선 대명호, 어선 제1승창호 충돌사건",충돌,2020,9,1,12,26,12-16시,가을,북,N35,59,28,동,E126,23,13,국내,서해영해,서해영해,대명호,1,33,30~50톤미만,어선,0,0,0,0,0
IC-2020-0589,"어선 대명호, 어선 제1승창호 충돌사건",충돌,2020,9,1,12,26,12-16시,가을,북,N35,59,28,동,E126,23,13,국내,서해영해,서해영해,제1승창호,2,11,10~15톤미만,어선,0,0,0,0,0
IC-2020-0590,어선 순경7호 전복사건,전복,2020,9,1,20,49,20-24시,가을,북,N37,38,8,동,E126,21,6,국내,서해영해,서해영해,순경7호,1,9.16,5~10톤미만,어선,0,0,0,0,0
IC-2020-0591,"어선 대경호, 어선 제207신천호 기타사건",속구손상,2020,8,27,2,51,0-4시,여름,북,N36,40,48,동,E126,8,8,국내,서해영해,서해영해,대경호,1,39,30~50톤미만,어선,0,0,0,0,0
IC-2020-0591,"어선 대경호, 어선 제207신천호 기타사건",속구손상,2020,8,27,2,51,0-4시,여름,북,N36,40,48,동,E126,8,8,국내,서해영해,서해영해,제207신천호,2,30,30~50톤미만,어선,0,0,0,0,0
IC-2020-0592,어선 제505나로호 기관손상사건,기관손상,2020,8,27,5,54,4-8시,여름,북,N00,0,0,동,E000,0,0,국내,개항 및 진입수로,기타개항,제505나로호,1,29,25~30톤미만,어선,0,0,0,0,0
IC-2020-0593,낚시어선 썬스타호 기관손상사건,기관손상,2020,8,28,7,10,4-8시,여름,북,N37,10,0,동,E125,45,0,국내,서해영해,서해영해,썬스타호,1,9.77,5~10톤미만,어선,0,0,0,0,0
IC-2020-0594,어선 부흥호 기관손상사건,기관손상,2020,8,28,7,46,4-8시,여름,북,N36,33,56,동,E126,22,58,국내,서해영해,서해영해,부흥호,1,1.54,1~2톤미만,어선,0,0,0,0,0
IC-2020-0598,어선 명진호 기관손상사건,기관손상,2020,8,31,16,35,16-20시,여름,북,N35,52,35,동,E126,30,20,국내,서해영해,서해영해,명진호,1,2.53,2~3톤미만,어선,0,0,0,0,0
